VOC(s),MOF,Metal atom(s),Linker,Space group,Topology,Crystal system,Mechanism involved,Thermal stability,Reference,gen AI
"Toluene, Xylenes",UiO-66,Zr,Terephthalic acid (BDC),Fm-3m,fcu,Cubic,"Physical adsorption, ?-? stacking",500°C,[9],ChatGPT
Formaldehyde,MIL-100(Fe),Fe,Trimesic acid (BTC),Fd-3m,mesoporous cages,Cubic,"Physical adsorption, coordination interaction",350°C,[8][9],ChatGPT
"Benzene, Toluene",UiO-67,Zr,Biphenyl dicarboxylate,Fm-3m,fcu,Cubic,"Physical adsorption, hydrophobicity",540°C,[8],ChatGPT
"Acetone, Xylenes",HKUST-1,Cu,"Benzene-1,3,5-tricarboxylate (BTC)",Pn-3,pto,Cubic,"Physical adsorption, metal–VOC interaction",240°C,[9],ChatGPT
Toluene,MIL-101(Cr),Cr,Terephthalic acid (BDC),Fd-3m,mesoporous cages,Cubic,"Physical adsorption, chemical stability",275°C,[8],ChatGPT
"Benzene, Toluene",MOF-5,Zn,"1,4-benzenedicarboxylate",Fm-3m,pcu,Cubic,Physisorption through ?-? interactions,Up to 400°C,"Li et al., Chem. Rev. 2012, 112, 869-932",Claude
Formaldehyde,UiO-66,Zr,"1,4-benzenedicarboxylate",Fm-3m,fcu,Cubic,Chemisorption via amino groups,Up to 540°C,"Wang et al., ACS Appl. Mater. Interfaces 2016, 8, 27473-27478",Claude
BTEX compounds,MIL-101(Cr),Cr,"1,4-benzenedicarboxylate",Fd-3m,mtn,Cubic,Physisorption and ?-? stacking,Up to 350°C,"Férey et al., Science 2005, 309, 2040-2042",Claude
Acetaldehyde,ZIF-8,Zn,2-methylimidazole,I-43m,sod,Cubic,Size-selective molecular sieving,Up to 550°C,"Park et al., PNAS 2006, 103, 10186-10191",Claude
"Toluene, Xylene",HKUST-1,Cu,"1,3,5-benzenetricarboxylate",Fm-3m,tbo,Cubic,Coordinatively unsaturated sites binding,Up to 350°C,"Chui et al., Science 1999, 283, 1148-1150",Claude
"Benzene, Ethylbenzene",MIL-53(Al),Al,"1,4-benzenedicarboxylate",Pnma,dia,Orthorhombic,Breathing mechanism and framework flexibility,Up to 500°C,"Loiseau et al., Chem. Eur. J. 2004, 10, 1373-1382",Claude
"Acetone, Ethanol",MOF-74,Zn,"2,5-dihydroxyterephthalate",R3,etb,Trigonal,Open metal sites coordination,Up to 400°C,"Rosi et al., J. Am. Chem. Soc. 2005, 127, 1504-1518",Claude
"Formaldehyde, Acetaldehyde",MAF-X27,Cu,"3-amino-1,2,4-triazole",P21/c,dia,Monoclinic,Chemisorption via amino groups,Up to 300°C,"Zhang et al., J. Mater. Chem. A 2016, 4, 7916-7923",Claude
BTEX compounds,MIL-100(Fe),Fe,"1,3,5-benzenetricarboxylate",Fd-3m,mtn,Cubic,Coordinatively unsaturated sites and cage effects,Up to 380°C,"Horcajada et al., Chem. Commun. 2007, 2820-2822",Claude
Xylene isomers,MIL-47,V,"1,4-benzenedicarboxylate",P21/c,sra,Monoclinic,Shape-selective molecular recognition,Up to 450°C,"Barthelet et al., Angew. Chem. Int. Ed. 2002, 41, 281-284",Claude
Formaldehyde,UiO-66,Zr,"BDC (1,4-benzenedicarboxylic acid)",Fm-3m,3D cubic,Cubic,Adsorption and catalytic degradation,Stable up to 400°C,https://pmc.ncbi.nlm.nih.gov/articles/PMC9656840/,perplexity
Toluene,MIL-101,Cr,BDC,Fm-3m,3D cubic,Cubic,Physical adsorption,Stable up to 300°C,https://pmc.ncbi.nlm.nih.gov/articles/PMC9656840/,perplexity
Benzene,ZIF-8,Zn,MIM (2-methylimidazole),P4_32_12,3D zeolitic,Tetragonal,Adsorption,Stable up to 250°C,https://pmc.ncbi.nlm.nih.gov/articles/PMC9656840/,perplexity
Acetaldehyde,MOF-5,Zn,BDC,Fm-3m,3D cubic,Cubic,Adsorption,Stable up to 300°C,https://pmc.ncbi.nlm.nih.gov/articles/PMC9656840/,perplexity
Ethanol,HKUST-1,Cu,"BTC (1,3,5-benzenetricarboxylic acid)",Fm-3m,3D cubic,Cubic,Adsorption,Stable up to 300°C,https://pmc.ncbi.nlm.nih.gov/articles/PMC9656840/,perplexity
Xylene,ZIF-67,Co,MIM,P4_32_12,3D zeolitic,Tetragonal,Adsorption,Stable up to 250°C,https://pmc.ncbi.nlm.nih.gov/articles/PMC9656840/,perplexity
Methylene chloride,MIL-125,Ti,BDC,Pnma,Layered,Orthorhombic,Adsorption,Stable up to 300°C,https://pmc.ncbi.nlm.nih.gov/articles/PMC9656840/,perplexity
Trichloroethylene,MOF-235,Mg,BDC,Pnma,Layered,Orthorhombic,Adsorption,Stable up to 350°C,https://pmc.ncbi.nlm.nih.gov/articles/PMC9656840/,perplexity
"Benzene, toluene, xylene",MIL-101(Cr),Cr(III),Terephthalic acid,P21/c,Cubic,Monoclinic,Adsorption,High,"Lee, H., Seo, J.-H., Kim, J., & Lee, Y. (2009). Adsorption of benzene, toluene, and p-xylene on mesoporous metal-organic framework MIL-101. Microporous and Mesoporous Materials, 120(1-3), 288-294.",Gemini
Formaldehyde,ZIF-8,Zn(II),2-methylimidazole,I4/mmm,Diamondoid,Cubic,Adsorption,High,"Li, Y., Zhang, Y., Wang, X., & Zhang, Y. (2014). Removal of formaldehyde by ZIF-8 metal-organic framework: Adsorption and mechanism study. Journal of Hazardous Materials, 279, 178-186.",Gemini
Acetone,UiO-66,Zr(IV),Terephthalic acid,Fm-3m,Cubic,Cubic,Adsorption,High,"Wang, J., Wang, C., Li, G., & Li, H. (2017). Adsorption of acetone vapor onto Zr-based metal-organic framework UiO-66. Journal of Porous Materials, 24(6), 1107-1114.",Gemini
Trichloroethylene,MIL-53(Al),Al(III),Terephthalic acid,P21/c,Cubic,Monoclinic,Adsorption,Moderate,"Wang, Y., Li, Y., & Yang, W. (2016). Adsorption of trichloroethylene on MIL-53(Al) metal-organic framework: Experimental and theoretical studies. Journal of Molecular Liquids, 219, 332-339.",Gemini
"Benzene, toluene, xylene",Cu-BTC,Cu(II),"Benzene-1,3,5-tricarboxylate",P63/mmc,Hexagonal,Hexagonal,Adsorption,Moderate,"Li, G., Wang, J., & Li, H. (2016). Adsorption of benzene, toluene, and p-xylene on Cu-BTC metal-organic framework: Experimental and theoretical studies. Journal of Molecular Liquids, 222, 1013-1020.",Gemini
